m,A,L,b,c,AR,t
0.7,1509.19,4.56,67.95,29.29,3.06,0.483
0.3,1017.68,2.9,55.65,24.13,3.05,0.4475
0.4,994.96,3.95,63.06,20.83,4,0.459
0.4,1145.04,3.43,60.89,24.85,3.24,0.458
0.5,1050.15,4.68,61.97,21.99,3.66,0.5
0.4,1049.84,3.74,59.62,22.83,3.39,0.518
0.5,1087.43,4.52,60.48,24.24,3.37,0.466
0.5,1110.79,4.42,61.57,25.15,3.42,0.47
0.6,1400.16,4.21,68.97,26.25,3.4,0.457
0.8,1077.49,7.29,64.5,22.34,3.87,0.463
0.4,922.06,4.26,58.84,20.3,3.76,0.51
0.5,931.91,5.27,56.3,21.17,3.41,0.488
0.4,818.48,4.8,52.43,21.23,3.36,0.48
0.4,1109.85,3.54,55.93,26.89,2.82,0.493
0.4,779,5.04,53.46,19.21,3.67,0.476
0.2,880.17,2.23,50,25.18,2.85,0.469
0.5,1295.22,3.79,67.58,24.46,3.53,0.506
0.5,1362.67,3.6,68.6,26.25,3.46,0.463
0.6,1002.29,5.88,55.83,24.82,3.11,0.44
0.6,1223.17,4.82,66.07,24.96,3.57,0.519
0.4,890.43,4.41,58.63,22.06,3.87,0.431
0.7,1136.87,6.05,62.9,23.83,3.49,0.513
0.5,1177.82,4.17,61,25.91,3.16,0.474
0.4,1292.39,3.04,68.1,24.9,3.59,0.48
0.6,1134.67,5.19,64.18,22.91,3.64,0.425
0.5,1186.83,4.14,64.61,24.15,3.52,0.476
0.5,1248.72,3.93,64.36,25.63,3.32,0.485
0.6,986.58,5.97,61.49,21.18,3.84,0.456
0.4,982.7,4,62.93,20.79,4.03,0.443
0.6,812.93,7.25,53.71,20.5,3.55,0.475
0.5,1169.65,4.2,61.63,24.35,3.25,0.442
0.4,957.99,4.1,54.09,27,3.06,0.488
0.6,1374.3,4.29,69.82,25.27,3.55,0.511
0.6,1211.75,4.86,63.85,25.92,3.37,0.471
0.5,1547.84,3.17,68.85,29.22,3.07,0.452
0.3,966.89,3.05,58.91,21.89,3.59,0.436
0.4,843.83,4.66,53.65,21.34,3.42,0.468
0.4,1226.1,3.21,65.46,24.35,3.5,0.433
0.2,802.88,2.45,51.69,20.01,3.33,0.422
0.3,866.56,3.4,56.07,20.06,3.63,0.445
0.1,720.77,1.37,48.31,19.81,3.24,0.43
0.4,978.3,4.02,61.03,20.38,3.81,0.47
0.4,844.77,4.65,55.58,19.97,3.66,0.517
0.6,1043.76,5.64,59.98,22.96,3.45,0.484
0.3,963.64,3.06,55.4,24.71,3.19,0.463
0.4,856.82,4.58,51.08,22.53,3.05,0.501
0.5,979.98,5.01,62.71,20.04,4.02,0.474
0.6,1233.33,4.78,72.84,22.43,4.31,0.514
0.3,677.62,4.35,50.03,17.72,3.7,0.473
0.6,1151.64,5.12,64.83,23.4,3.65,0.438
0.4,789.47,4.98,52.22,20.85,3.46,0.459
0.5,838.7,5.85,49.97,22.29,2.98,0.442
0.4,1199.71,3.28,63.02,24.9,3.32,0.517
0.6,1569.93,3.75,72.92,27.68,3.39,0.476
0.6,1537.36,3.83,72.28,27.28,3.4,0.466
0.3,776.7,3.79,52.04,19.52,3.49,0.453
